Category,ID,Latitude,Longitude,Date,MOD11A1_061_LST_Day_1km,MOD11A1_061_LST_Night_1km
Brody 1,3,52.4393333,16.2788972,2018-03-28,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-03-29,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-03-30,0.0,273.3800049
Brody 1,3,52.4393333,16.2788972,2018-03-31,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-04-01,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-04-02,281.6199951,0.0
Brody 1,3,52.4393333,16.2788972,2018-04-03,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-04-04,279.3599854,0.0
Brody 1,3,52.4393333,16.2788972,2018-04-05,287.0599976,0.0
Brody 1,3,52.4393333,16.2788972,2018-04-06,287.8999939,274.4599915
Brody 1,3,52.4393333,16.2788972,2018-04-07,288.0,279.0
Brody 1,3,52.4393333,16.2788972,2018-04-08,292.6000061,279.519989
Brody 1,3,52.4393333,16.2788972,2018-04-09,294.0400085,280.1000061
Brody 1,3,52.4393333,16.2788972,2018-04-10,294.8599854,0.0
Brody 1,3,52.4393333,16.2788972,2018-04-11,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-04-12,289.7599792,283.4799805
Brody 1,3,52.4393333,16.2788972,2018-04-13,294.0599976,284.8200073
Brody 1,3,52.4393333,16.2788972,2018-04-14,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-04-15,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-04-16,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-04-17,291.4599915,281.0799866
Brody 1,3,52.4393333,16.2788972,2018-04-18,293.8599854,283.5400085
Brody 1,3,52.4393333,16.2788972,2018-04-19,296.4400024,283.3599854
Brody 1,3,52.4393333,16.2788972,2018-04-20,296.4400024,287.5599976
Brody 1,3,52.4393333,16.2788972,2018-04-21,295.5,279.7599792
Brody 1,3,52.4393333,16.2788972,2018-04-22,295.4199829,281.8999939
Brody 1,3,52.4393333,16.2788972,2018-04-23,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-04-24,0.0,282.6000061
Brody 1,3,52.4393333,16.2788972,2018-04-25,0.0,280.2399902
Brody 1,3,52.4393333,16.2788972,2018-04-26,0.0,278.3200073
Brody 1,3,52.4393333,16.2788972,2018-04-27,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-04-28,295.7799988,0.0
Brody 1,3,52.4393333,16.2788972,2018-04-29,292.7200012,286.6399841
Brody 1,3,52.4393333,16.2788972,2018-04-30,297.8200073,281.9599915
Brody 1,3,52.4393333,16.2788972,2018-05-01,0.0,280.7999878
Brody 1,3,52.4393333,16.2788972,2018-05-02,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-05-03,0.0,0.0
Brody 1,3,52.4393333,16.2788972,2018-05-04,291.4799805,0.0
Brody 1,3,52.4393333,16.2788972,2018-05-05,291.2799988,279.5400085
Brody 1,3,52.4393333,16.2788972,2018-05-06,295.0,281.8200073
Brody 1,3,52.4393333,16.2788972,2018-05-07,297.1199951,282.6799927
Brody 1,3,52.4393333,16.2788972,2018-05-08,298.7799988,284.4599915
Brody 1,3,52.4393333,16.2788972,2018-05-09,299.8999939,0.0
Brody 1,3,52.4393333,16.2788972,2018-05-10,299.6999817,0.0
Brody 1,3,52.4393333,16.2788972,2018-05-11,0.0,284.6000061
Brody 1,3,52.4393333,16.2788972,2018-05-12,297.5,0.0
Brody 1,3,52.4393333,16.2788972,2018-05-13,297.6799927,283.2399902
